,combined_titles_and_descriptions,crawlDate,description,id,publishedDate,source,tags,tickers,title,url,0_left,0_right
0,"JPMorgan Chase & Co. Reiterates ""Buy"" Rating for Apple (AAPL) Apple (NASDAQ:AAPL)‘s stock had its “buy” rating reiterated by JPMorgan Chase & Co. in a report released on Thursday. They currently have a $228.00 price target on the iPhone maker’s stock. JPMorgan Chase & Co.‘s target price would suggest a potential upside of 19.34% from the stock’s previous close. Several other equities research analysts also […]",2019-03-23T10:20:11.410736Z,Apple (NASDAQ:AAPL)‘s stock had its “buy” rating reiterated by JPMorgan Chase & Co. in a report released on Thursday. They currently have a $228.00 price target on the iPhone maker’s stock. JPMorgan Chase & Co.‘s target price would suggest a potential upside of 19.34% from the stock’s previous close. Several other equities research analysts also […],15898839,2019-03-23T09:42:41Z,thelincolnianonline.com,"['03783310', 'Aapl', 'Apple', 'Computer And Technology', 'Financial Services', 'Jpmorgan Chase & Co.', 'Nasdaq:Aapl', 'Reiterated Rating', 'Stock', 'Technology', 'Unknown Sector']","['aapl', 'barl', 'jpm', 'jpm-ws', 'ms', 'msk', 'mwg', 'mwo', 'mwr']","JPMorgan Chase & Co. Reiterates ""Buy"" Rating for Apple (AAPL)",https://www.thelincolnianonline.com/2019/03/23/jpmorgan-chase-co-reiterates-buy-rating-for-apple-aapl.html,https://www.thelincolnianonline.com/2019/03/23/jpmorgan-chase-co-reiterates-buy-rating-for-apple-aapl.html,0.15552472894877592
1,"Marshwinds Advisory Co. Increases Stake in Apple Inc. (AAPL) Marshwinds Advisory Co. grew its stake in shares of Apple Inc. (NASDAQ:AAPL) by 14.1% during the fourth quarter, according to its most recent filing with the Securities and Exchange Commission. The institutional investor owned 2,114 shares of the iPhone maker’s stock after purchasing an additional 262 shares during the period. Marshwinds Advisory Co.’s holdings in […]",2019-03-23T08:45:54.396372Z,"Marshwinds Advisory Co. grew its stake in shares of Apple Inc. (NASDAQ:AAPL) by 14.1% during the fourth quarter, according to its most recent filing with the Securities and Exchange Commission. The institutional investor owned 2,114 shares of the iPhone maker’s stock after purchasing an additional 262 shares during the period. Marshwinds Advisory Co.’s holdings in […]",15898145,2019-03-23T08:20:42Z,mareainformativa.com,"['03783310', '13F', 'Aapl', 'Apple', 'Computer And Technology', 'Financial Services', 'Hedge Fund Holdings', 'Institutional Investor Holdings', 'Nasdaq:Aapl', 'Sec Filings', 'Stock', 'Technology']","['aapl', 'ry']",Marshwinds Advisory Co. Increases Stake in Apple Inc. (AAPL),https://www.mareainformativa.com/news/2019/03/23/marshwinds-advisory-co-increases-stake-in-apple-inc-aapl.html,https://www.mareainformativa.com/news/2019/03/23/marshwinds-advisory-co-increases-stake-in-apple-inc-aapl.html,0.23970290044891546
2,Apple's Cook to China: keep opening for sake of global economy Apple chief executive Tim Cook nudged China on Saturday to open up and said the ...,2019-03-23T09:38:56.608291Z,Apple chief executive Tim Cook nudged China on Saturday to open up and said the ...,15898500,2019-03-23T06:51:06Z,reuters.com,"['China', 'Headlines', 'Software', 'Stock', 'Technology', 'Tiingo Top']",['aapl'],Apple's Cook to China: keep opening for sake of global economy,https://www.reuters.com/article/china-forum-apple/apples-cook-to-china-keep-opening-for-sake-of-global-economy-idUSL3N21A02W,https://www.reuters.com/article/china-forum-apple/apples-cook-to-china-keep-opening-for-sake-of-global-economy-idUSL3N21A02W,0.3919534148305306
3,"Apple (AAPL) Stock Rating Reaffirmed by Citigroup Apple (NASDAQ:AAPL)‘s stock had its “buy” rating reissued by equities researchers at Citigroup in a research report issued to clients and investors on Thursday, MarketBeat.com reports. They presently have a $220.00 price target on the iPhone maker’s stock, up from their prior price target of $170.00. Citigroup‘s target price suggests a potential upside of 15.15% […]",2019-03-23T06:58:37.911266Z,"Apple (NASDAQ:AAPL)‘s stock had its “buy” rating reissued by equities researchers at Citigroup in a research report issued to clients and investors on Thursday, MarketBeat.com reports. They presently have a $220.00 price target on the iPhone maker’s stock, up from their prior price target of $170.00. Citigroup‘s target price suggests a potential upside of 15.15% […]",15897674,2019-03-23T06:34:40Z,thelincolnianonline.com,"['03783310', 'Aapl', 'Apple', 'Citigroup Inc', 'Computer And Technology', 'Financial Services', 'Nasdaq:Aapl', 'Reiterated Rating', 'Stock', 'Technology']","['aapl', 'c']",Apple (AAPL) Stock Rating Reaffirmed by Citigroup,https://www.thelincolnianonline.com/2019/03/23/apple-aapl-stock-rating-reaffirmed-by-citigroup.html,https://www.thelincolnianonline.com/2019/03/23/apple-aapl-stock-rating-reaffirmed-by-citigroup.html,0.6117497655018418
4,Apple CEO Cook Urges China to Keep Opening Up Its Economy ,2019-03-23T02:15:10.837608Z,,15896627,2019-03-23T01:34:05.025000Z,bloomberg.com,"['China', 'Donald John Trump', 'Earnings', 'Imports', 'Iphone', 'Jinping Xi', 'Mobile Phones', 'Smartphone', 'Stock', 'Technology', 'Tiingo Top', 'Timothy Donald Cook', 'War']",['aapl'],Apple CEO Cook Urges China to Keep Opening Up Its Economy,https://www.bloomberg.com/news/articles/2019-03-23/apple-ceo-cook-urges-china-to-keep-opening-up-its-economy,https://www.bloomberg.com/news/articles/2019-03-23/apple-ceo-cook-urges-china-to-keep-opening-up-its-economy,0.4190046676184498
5,"Tech Stocks This Week: Apple Rises, Instagram Launches Checkout Feature, and More This week's notable headlines in tech feature Apple, Facebook, and Square.",2019-03-23T00:05:56.717754Z,"This week's notable headlines in tech feature Apple, Facebook, and Square.",15896056,2019-03-22T23:48:19Z,foxbusiness.com,"['Financials', 'Markets', 'Stock', 'Technology', 'Tiingo Top']","['aapl', 'fb', 'sq', 'sqbk']","Tech Stocks This Week: Apple Rises, Instagram Launches Checkout Feature, and More",https://www.foxbusiness.com/markets/tech-stocks-this-week-apple-rises-instagram-launches-checkout-feature-and-more,https://www.foxbusiness.com/markets/tech-stocks-this-week-apple-rises-instagram-launches-checkout-feature-and-more,0.8025913546509237
6,"Daybreak Weekend: Apple, Coffe, Brexit & Netanyahu (Audio) ",2019-03-23T00:03:14.803248Z,,15896030,2019-03-22T23:44:04.530000Z,bloomberg.com,"['Bob Moon', 'Brexit', 'Mobile Phones', 'Stock', 'Technology', 'Tiingo Top']",['aapl'],"Daybreak Weekend: Apple, Coffe, Brexit & Netanyahu (Audio)",https://www.bloomberg.com/news/audio/2019-03-22/daybreak-weekend-apple-coffe-brexit-netanyahu-audio,https://www.bloomberg.com/news/audio/2019-03-22/daybreak-weekend-apple-coffe-brexit-netanyahu-audio,0.1447267432734321
7,"Tech Stocks This Week: Apple Rises, Instagram Launches Checkout Feature, and More This week's notable headlines in tech feature Apple, Facebook, and Square.",2019-03-22T23:09:12.426955Z,"This week's notable headlines in tech feature Apple, Facebook, and Square.",15895557,2019-03-22T23:06:00Z,fool.com,"['Aapl', 'C05Aa9Ac-408B-4Cdf-803A-C7435F9Fb115', 'Fb', 'Financials', 'Sq', 'Stock', 'Technology']","['aapl', 'fb', 'sq', 'sqbk']","Tech Stocks This Week: Apple Rises, Instagram Launches Checkout Feature, and More",https://www.fool.com/investing/2019/03/22/tech-stocks-this-week-apple-rises-instagram-launch.aspx?source=iedfolrf0000001,https://www.fool.com/investing/2019/03/22/tech-stocks-this-week-apple-rises-instagram-launch.aspx?source=iedfolrf0000001,0.8025913546509237
8,Cramer's game plan: 'Get ready to ride through these troubled waters' Jim Cramer explains an inverted yield curve does not mean a recession is coming and reveals what companies he'll be paying attention to next week.,2019-03-22T23:01:45.918482Z,Jim Cramer explains an inverted yield curve does not mean a recession is coming and reveals what companies he'll be paying attention to next week.,15895526,2019-03-22T22:31:27Z,cnbc.com,"['Business', 'Consumer Cyclical', 'Consumer Defensive', 'Healthcare', 'Industrials', 'Investment Strategy', 'Markets', 'Personal Investing', 'Stock', 'Stock Markets', 'Technology', 'Tiingo Top']","['aapl', 'acn', 'adbe', 'ccl', 'cron', 'dxcm', 'fl', 'kbh', 'kmx', 'len', 'lulu', 'lyft', 'nclh', 'nke', 'olli', 'payx', 'pvh', 'rht', 'tndm']",Cramer's game plan: 'Get ready to ride through these troubled waters',https://www.cnbc.com/2019/03/22/cramers-game-plan-get-ready-to-ride-through-these-troubled-waters.html,https://www.cnbc.com/2019/03/22/cramers-game-plan-get-ready-to-ride-through-these-troubled-waters.html,0.8701330149834103
9,"TV Streaming Is Too Fragmented and Too Complicated. This Needs to Change. Already there are more than 300 services for streaming video, not counting offerings coming from Disney later this year and NBC next year. Fatigue is setting in.",2019-03-22T22:36:23.171523Z,"Already there are more than 300 services for streaming video, not counting offerings coming from Disney later this year and NBC next year. Fatigue is setting in.",15895309,2019-03-22T22:29:00Z,barrons.com,"['Aapl', 'Apple', 'Arts', 'Broadcasting', 'Cable Broadcasting', 'Cmcsa', 'Column', 'Comcast Cl A', 'Communication Services', 'Companies', 'Computers', 'Consumer Cyclical', 'Consumer Discretionary', 'Consumer Electronics', 'Dis', 'Disruption', 'E-Commerce', 'Entertainment', 'Etailing', 'General', 'Investing', 'Magazine', 'Media', 'Netflix', 'Nflx', 'Online Service Providers', 'Political', 'Radio', 'Retail', 'Roku', 'Roku Cl A', 'Stock', 'Streetwise', 'Technology', 'Television', 'Unknown Sector', 'Walt Disney', 'Wholesale']","['aapl', 'amzn', 'ccv', 'ccz', 'cmcsk', 'dis', 'nflx', 'roku', 'vz', 'vza']",TV Streaming Is Too Fragmented and Too Complicated. This Needs to Change.,https://www.barrons.com/articles/tv-streaming-has-gotten-too-complicated-a-change-has-got-to-come-51553293760,https://www.barrons.com/articles/tv-streaming-has-gotten-too-complicated-a-change-has-got-to-come-51553293760,0.06783304420945976
